label,region
Fpz,Fpz
Fp1,Fp1
Fz,Fz
F1,F1
F3,F3
F7,F7
Cz,Cz
C1,C1
C3,C3
Pz,Pz
P1,P1
P3,P3
T3,T3
T5,T5
O1,O1
