label,region
Fpz,Fpz
Fp2,Fp2
Fz,Fz
F2,F2
F4,F4
F8,F8
Cz,Cz
C2,C2
C4,C4
Pz,Pz
P2,P2
P4,P4
T4,T4
T6,T6
O2,O2
